Location,Price,Area_Type,Bedroom,Bathroom,Square_feet,Lot_Size,Year_Built
0,"19 Goldenrod Pl, Vernon Twp., NJ, 07418","$79,900",Single Family Residential,2,2,— Sq Ft,0.37 Acres,2023
1,"45 Aldine Shirley Rd, Elmer, NJ, 08318","$84,900",Vacant Land,—,—,1.00 Acre (Lot),1 Acre,2022
2,"1 Victory Ave #16, Pennsville, NJ, 08070","$94,900",Single Family Residential,2,1,896 Sq Ft,18.45 Acres,2021
3,"1205 Farrell Ave #4, Cherry Hill, NJ, 08002","$109,000",Single Family Residential,2,1,784 Sq Ft,"1,950 Sq. Ft.",2023
4,"1887 N Delsea Dr #8, Vineland, NJ, 08360","$114,900",Single Family Residential,2,1,832 Sq Ft,—,2022
5,"1887 N Delsea Dr #10, Vineland, NJ, 08360","$114,900",Single Family Residential,2,1,832 Sq Ft,—,2022
6,"4 Sterling Ct, East Windsor, NJ, 08520","$114,900",Single Family Residential,2,2,— Sq Ft,"1,000 Sq. Ft.",2023
7,"209 Stephen Kritz Ln Ln, Clarksboro, NJ, 08020","$122,668",Townhouse,2,1,850 Sq Ft,"4,000 Sq. Ft.",2023
8,"1887 N Delsea Dr #39, Vineland, NJ, 08360","$124,900",Single Family Residential,3,2,"1,056 Sq Ft",—,2021
9,"209 Shute Farm Ln, Clarksboro, NJ, 08020","$127,466",Townhouse,2,1,850 Sq Ft,"4,000 Sq. Ft.",2023
10,"8 Avenue D, Hazlet, NJ, 07730","$127,900","Single Family, Attached",2,1,— Sq Ft,—,2023
11,"1444 Princess Ave, Camden, NJ, 08103","$129,000",Townhouse,3,2,— Sq Ft,"2,801 Sq. Ft.",2023
12,"1231 Empire Ave, Camden, NJ, 08103","$129,000",Townhouse,3,2,— Sq Ft,"2,701 Sq. Ft.",2023
13,"2501 tilton road # Tilton Road #104, Egg Harbor Township, NJ, 08234","$129,900",Single Family Residential,3,2,"1,056 Sq Ft",—,2023
14,"1887 N Delsea Dr #21, Vineland, NJ, 08360","$137,900",Single Family Residential,3,2,"1,120 Sq Ft",—,2021
15,"18 John St, Hazlet, NJ, 07730","$139,900","Single Family, Attached",2,1,— Sq Ft,—,2023
16,"Lot #00024 Central Ave, Pittsgrove, NJ, 08318","$144,000",Ranch,—,—,— Sq Ft,4.56 Acres,2022
17,"191 Us Highway 9, Englishtown, NJ, 07726","$149,900","Adult Community, Detached",2,1,— Sq Ft,2.9 Acres,2023
18,"1 Victory Ave #73, Pennsville, NJ, 08070","$153,900",Single Family Residential,3,2,"1,056 Sq Ft",18.45 Acres,2022
19,"5604 Briarwood Dr, Millville, NJ, 08332","$259,000",Single Family Residential,3,2,— Sq Ft,"10,102 Sq. Ft.",2022
20,"175 Delaware Dr, Pennsville, NJ, 08070","$259,900",Single Family Residential,3,2,"1,040 Sq Ft","10,018 Sq. Ft.",2022
21,"0 Greenwich Rd, Bridgeton, NJ, 08302","$294,999",Single Family Residential,3,2,"1,320 Sq Ft",1.45 Acres,2023
22,"429 Quigley Ave, Vineland, NJ, 08360","$299,900",Single Family Residential,3,2.5,"1,446 Sq Ft",0.32 Acres,2022
23,"11 Morongo Ct, Toms River, NJ, 08757","$300,000","Adult Community, Detached",2,2,— Sq Ft,"5,227 Sq. Ft.",2023
24,"62 Gasko Rd, Mays Landing, NJ, 08330","$314,900",Single Family,2,2, Sq Ft,"3,920 Sq. Ft.",2023
25,"64 Gasko Rd, Mays Landing, NJ, 08330","$314,900",Single Family,2,2, Sq Ft,"3,920 Sq. Ft.",2023
26,"90 Gasko Rd, Mays Landing, NJ, 08330","$319,900",Single Family,2,2, Sq Ft,"4,356 Sq. Ft.",2023
27,"1084 New Peach St, Vineland, NJ, 08360","$340,000",Single Family Residential,3,2.5,— Sq Ft,0.42 Acres,2023
28,"21 E Jones Ave, Edgewater Park, NJ, 08010","$344,990",Townhouse,3,2.5,"1,575 Sq Ft","2,039 Sq. Ft.",2023
29,"15 Senators Way, Berlin, NJ, 08009","$345,900",Single Family Residential,2,2,"1,183 Sq Ft","6,050 Sq. Ft.",2022
30,"270 West Ave, Bridgeton, NJ, 08302","$349,900",Single Family Residential,3,2.5,— Sq Ft,0.65 Acres,2023
31,"103 Fischer Ct, Rockaway Twp., NJ, 07866","$349,900",Townhouse,1,1,914 Sq Ft,—,2021
32,"117 Mazzeo Dr, Glassboro, NJ, 08028","$349,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
33,"375 Bailey St, Woodstown, NJ, 08098","$350,000",Single Family Residential,3,2,"1,300 Sq Ft",0.51 Acres,2023
34,"133 Mazzeo Dr, Glassboro, NJ, 08028","$353,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
35,"10 Panmure Way, Williamstown, NJ, 08094","$354,900",Townhouse,2,2,"1,567 Sq Ft","3,443 Sq. Ft.",2022
36,"129 Mazzeo Dr, Glassboro, NJ, 08028","$354,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
37,"137 Mazzeo Dr, Glassboro, NJ, 08028","$355,990",Townhouse,3,2.5,— Sq Ft,"2,178 Sq. Ft.",2023
38,"141 Mazzeo Dr, Glassboro, NJ, 08028","$358,990",Townhouse,3,2.5,"1,500 Sq Ft","1,346 Sq. Ft.",2023
39,"107 Tomahawk Ter, Montague Twp., NJ, 07827","$359,000",Single Family Residential,3,2,— Sq Ft,0.44 Acres,2022
40,"4 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
41,"10 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
42,"6 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
43,"8 Mill Creek Ct, Bayville, NJ, 08721","$359,000",Townhouse,2,2.5,"1,732 Sq Ft",—,2023
44,"4 Panmure Way, Williamstown, NJ, 08094","$359,900",Townhouse,2,2,"1,889 Sq Ft","3,443 Sq. Ft.",2022
45,"600 Vick St, Cape May Court House, NJ, 08210","$364,990",Single Family Residential,4,2,"1,497 Sq Ft",0.35 Acres,2023
46,"7418 Zimmerman Ave, Pennsauken, NJ, 08110","$365,000",Townhouse,3,3,"1,850 Sq Ft",0.26 Acres,2022
47,"001 Castleton Dr, Williamstown, NJ, 08094","$366,900",Single Family Residential,2,2,"1,484 Sq Ft",,2023
48,"2a Panmure Way, Williamstown, NJ, 08094","$369,900",Townhouse,2,2,"1,889 Sq Ft","3,443 Sq. Ft.",2022
49,"2 Panmure Way, Williamstown, NJ, 08094","$369,900",Single Family Residential,2,2,"1,889 Sq Ft","3,443 Sq. Ft.",2022
50,"601 S George St, Cape May Court House, NJ, 08210","$369,990",Single Family Residential,4,2,"1,497 Sq Ft",0.35 Acres,2023
51,"200 Reeves St, Cape May Court House, NJ, 08210","$369,990",Single Family Residential,4,2,"1,497 Sq Ft",0.35 Acres,2023
52,"410 Dalton Dr, Swedesboro, NJ, 08085","$369,990",Townhouse,3,2.5,"1,960 Sq Ft","4,138 Sq. Ft.",2021
53,"600 Vick St, Middle Township, Cape May Point, NJ, 08212","$369,990",Single Family Residential,3,2,"1,497 Sq Ft",,2023
54,"200 Reeves St, Middle Township, Cape May Point, NJ, 08212","$369,990",Single Family Residential,3,2,"1,497 Sq Ft",,2023
55,"601 S George St, Middle Townsh, Cape May Point, NJ, 08212","$369,990",Single Family Residential,3,2,"1,497 Sq Ft",,2023
56,"43 Nelson's Way, Westampton, NJ, 08060","$371,490",Townhouse,3,2.5,"1,500 Sq Ft","1,740 Sq. Ft.",2022
57,"29 Panmure Way, Williamstown, NJ, 08094","$372,020",Single Family Residential,2,2,"1,735 Sq Ft","3,443 Sq. Ft.",2023
58,"60 Nelson's Way, Westampton, NJ, 08060","$372,990",Townhouse,3,2.5,"1,500 Sq Ft","1,740 Sq. Ft.",2022
59,"33 Queensferry Dr, Williamstown, NJ, 08094","$374,740",Townhouse,2,2,"1,889 Sq Ft","3,443 Sq. Ft.",2023
60,"62 Nelson's Way, Westampton, NJ, 08060","$374,990",Townhouse,3,2.5,"1,500 Sq Ft","1,740 Sq. Ft.",2022
61,"15 String St, Alloway, NJ, 08001","$375,000",Single Family Residential,3,2.5,"1,600 Sq Ft","9,148 Sq. Ft.",2023
62,"002 Castleton Dr, Williamstown, NJ, 08094","$384,900",Single Family Residential,3,2,"1,695 Sq Ft",,2023
63,"3 Queensferry Dr, Williamstown, NJ, 08094","$386,967",Townhouse,2,2,"1,735 Sq Ft","3,443 Sq. Ft.",2022
64,"303 Fischer #303, Rockaway Twp., NJ, 07866","$389,900",Townhouse,1,1,914 Sq Ft,—,2021
65,"5 Queensfery Dr, Williamstown, NJ, 08094","$390,067",Townhouse,2,2,"1,735 Sq Ft","3,443 Sq. Ft.",2022
66,"32 Queensferry Dr, Williamstown, NJ, 08094","$391,978",Townhouse,2,2,"1,889 Sq Ft","3,443 Sq. Ft.",2023
67,"003 Castleton Dr, Williamstown, NJ, 08094","$394,900",Single Family Residential,3,2,"1,828 Sq Ft",,2023
68,"58 Nelson's Way, Westampton, NJ, 08060","$395,790",Townhouse,3,2.5,"1,500 Sq Ft","1,740 Sq. Ft.",2022
69,"111 Rena St, Newfield, NJ, 08344","$399,000",Single Family Residential,3,2.5,— Sq Ft,0.93 Acres,2023
70,"0 Harding Hwy, Mays Landing, NJ, 08330","$399,000",Single Family Residential,3,2,"1,244 Sq Ft",9.75 Acres,2023
71,"5 Mississippi Ave, Jefferson Twp., NJ, 07849","$399,900",Single Family Residential,2,2.5,— Sq Ft,"3,920 Sq. Ft.",2022
72,"41 Main St, Peapack Gladstone Boro, NJ, 07977","$399,999",Single Family Residential,3,3,— Sq Ft,1.75 Acres,2023
73,"334 Rolling Rdg, Montague Twp., NJ, 07827","$400,000",Single Family Residential,3,2,— Sq Ft,"10,454 Sq. Ft.",2023
74,"210 Squam Rd, Vernon Twp., NJ, 07422","$400,000",Single Family Residential,3,2.5,— Sq Ft,0.28 Acres,2023
75,"135 Hemlock, Montague Twp., NJ, 07827","$400,000",Single Family Residential,3,2,— Sq Ft,0.46 Acres,2023
76,"004 Castleton Dr, Williamstown, NJ, 08094","$402,900",Single Family Residential,3,2,— Sq Ft,,2023
77,"26 Paula Ln, Green Creek, NJ, 08204","$407,000",Single Family,3,2,"1,200 Sq Ft","7,200 Sq. Ft.",2023
78,"1320 Tatum St, Woodbury, NJ, 08096","$420,000",Single Family Residential,4,2.5,"1,636 Sq Ft","7,492 Sq. Ft.",2023
79,"322 Grand Ave, Hamilton, NJ, 08610","$425,000",Single Family Residential,3,2.5,"1,554 Sq Ft","6,299 Sq. Ft.",2023
80,"210 Squam Rd, Vernon Twp., NJ, 07422","$400,000",Single Family Residential,3,2.5,— Sq Ft,0.28 Acres,2023
81,"135 Hemlock, Montague Twp., NJ, 07827","$400,000",Single Family Residential,3,2,— Sq Ft,0.46 Acres,2023
82,"004 Castleton Dr, Williamstown, NJ, 08094","$402,900",Single Family Residential,3,2,— Sq Ft,,2023
83,"26 Paula Ln, Green Creek, NJ, 08204","$407,000",Single Family,3,2,"1,200 Sq Ft","7,200 Sq. Ft.",2023
84,"1320 Tatum St, Woodbury, NJ, 08096","$420,000",Single Family Residential,4,2.5,"1,636 Sq Ft","7,492 Sq. Ft.",2023
85,"1320 Tatum St, Woodbury, NJ, 08096","$420,000",Single Family Residential,4,2.5,"1,636 Sq Ft","7,492 Sq. Ft.",2023
86,"322 Grand Ave, Hamilton, NJ, 08610","$425,000",Single Family Residential,3,2.5,"1,554 Sq Ft","6,299 Sq. Ft.",2023
87,"309 Kenyon Ave, Millville, NJ, 08332","$425,000",Single Family Residential,3,2.5,"1,643 Sq Ft",2.1 Acres,2022
88,"2531 45th St, Pennsauken, NJ, 08109","$425,000",Single Family Residential,6,4,"3,120 Sq Ft",—,2022
89,"1405 Walnut St, Glassboro, NJ, 08028","$425,000",Single Family Residential,3,2,"1,850 Sq Ft",0.29 Acres,2022
90,"1401 Walnut St, Glassboro, NJ, 08028","$425,000",Single Family Residential,3,2,"1,850 Sq Ft",0.29 Acres,2022
91,"18 Ernst Ct, Mays Landing, NJ, 08330","$429,900",Single Family Residential,2,2,"1,880 Sq Ft","6,098 Sq. Ft.",2022
92,"29 Simpkins Ln, Pemberton, NJ, 08068","$429,900",Single Family Residential,2,2,"1,800 Sq Ft","5,000 Sq. Ft.",2023
93,"16 Simpkins Ln, Pemberton, NJ, 08068","$429,900",Single Family Residential,3,2,"1,800 Sq Ft","1,800 Sq. Ft.",2023
94,"16 Simpkins Ln, Pemberton, NJ, 08068","$429,900",Single Family Residential,3,2,"1,800 Sq Ft","1,800 Sq. Ft.",2023
95,"25 Budhollow Ln, Willingboro, NJ, 08046","$435,000",Single Family Residential,4,2.5,"2,264 Sq Ft","6,500 Sq. Ft.",2022
96,"1 Babcock Ln, Willingboro, NJ, 08046","$435,000",Single Family Residential,4,2.5,— Sq Ft,"6,500 Sq. Ft.",2023
97,"3 Pin Oak Dr, Mays Landing, NJ, 08330","$435,000",Single Family,4,2, Sq Ft,0.28 Acres,2022
98,"520 3rd Ave, Woodbury, NJ, 08096","$439,900",Single Family Residential,4,2.5,"1,500 Sq Ft","5,998 Sq. Ft.",2022
99,"2 Cades Ct, Newfield, NJ, 08344","$439,990",Single Family Residential,4,2.5,"1,906 Sq Ft",1.01 Acres,2023
100,"14 Simpkins Ln, Pemberton, NJ, 08068","$449,900",Single Family Residential,3,3,— Sq Ft,"9,468 Sq. Ft.",2023
101,"517 Parkwood Ct, Phillipsburg Town, NJ, 08865","$449,900",Single Family Residential,4,2.5,— Sq Ft,"7,840 Sq. Ft.",2023
102,"310 Superior Rd, Egg Harbor Township, NJ, 08234","$449,990",Single Family Residential,4,2.5,"1,906 Sq Ft","6,534 Sq. Ft.",2023
103,"26 Cades Ct, Newfield, NJ, 08344","$449,990",Single Family Residential,4,2.5,"1,906 Sq Ft",1.01 Acres,2023
104,"4703 Pennsylvania Ave, Vineland, NJ, 08361","$450,000",Single Family Residential,4,2.5,"2,287 Sq Ft",1 Acre,2023
105,"14 Cades Ct, Newfield, NJ, 08344","$454,990",Single Family Residential,4,2.5,"1,906 Sq Ft",1.01 Acres,2023
106,"25 Cades Ct, Newfield, NJ, 08344","$458,990",Single Family Residential,4,2.5,"1,906 Sq Ft",1.01 Acres,2023
107,"49 Somerset Ave, Sewell, NJ, 08080","$459,900",Single Family Residential,4,2.5,"2,532 Sq Ft",0.39 Acres,2021
108,"Cayuga Way, Sicklerville, NJ, 08081","$459,900",Single Family Residential,4,2.5,— Sq Ft,"9,374 Sq. Ft.",2021
109,"19 Stanton Rd, Mount Holly, NJ, 08060","$459,990",Townhouse,3,2.5,"2,208 Sq Ft","1,921 Sq. Ft.",2023
110,"17 Cades Ct, Newfield, NJ, 08344","$459,990",Single Family Residential,4,2.5,"1,906 Sq Ft",1.01 Acres,2023
111,"720 Kuser Rd, Hamilton, NJ, 08619","$460,000",Single Family Residential,2,2,"1,381 Sq Ft",1.59 Acres,2021
112,"720 Kuser Rd, Hamilton, NJ, 08619","$460,000",Single Family Residential,2,2,"1,381 Sq Ft",1.59 Acres,2021
113,"13 Cades Ct, Newfield, NJ, 08344","$462,990",Single Family Residential,4,2.5,"1,906 Sq Ft",1.01 Acres,2023
114,"90 Valerie Dr, Manville Boro, NJ, 08835","$465,000",Townhouse,3,2.5,— Sq Ft,—,2023
115,"373 Minck Ave, West Berlin, NJ, 08091","$468,888",Single Family Residential,4,2.5,— Sq Ft,—,2023
116,"373 Minck Ave, West Berlin, NJ, 08091","$468,888",Single Family Residential,4,2.5,— Sq Ft,—,2023
117,"316 W Lincoln Ave #101, Wildwood, NJ, 08260","$469,900",Condo,3,2,— Sq Ft,—,2023
118,"3007 Cottonwood Ave, Egg Harbor Township, NJ, 08234","$474,990",Single Family Residential,4,2.5,"1,906 Sq Ft",0.25 Acres,2023
119,"853 Rebecca Pl, Elizabeth City, NJ, 07201","$475,000",Single Family Residential,3,2,— Sq Ft,"3,049 Sq. Ft.",2021
120,"316 W Lincoln Ave #201, Wildwood, NJ, 08260","$489,900",Condo,3,2,— Sq Ft,—,2023
121,"316 W Lincoln Ave #202, Wildwood, NJ, 08260","$489,900",Condo,3,2,— Sq Ft,—,2023
122,"22 Cades Ct, Newfield, NJ, 08344","$489,990",Single Family Residential,4,2.5,"2,340 Sq Ft",1.01 Acres,2023
123,"30 Cades Ct, Newfield, NJ, 08344","$489,990",Single Family Residential,4,2.5,"2,340 Sq Ft",1.01 Acres,2023
124,"9 Cades Ct, Newfield, NJ, 08344","$489,990",Single Family Residential,4,2.5,"2,340 Sq Ft",1.01 Acres,2023
125,"29 Cades Court, Newfield, Newfield, NJ, 08344","$489,990",Single Family Residential,4,2.5,"2,340 Sq Ft",,2023
126,"694 Fox Run Rd, Sewell, NJ, 08080","$490,000",Ranch,—,—,— Sq Ft,17.46 Acres,2023
127,"209 Aaron Truehart Way, Titusville, NJ, 08560","$494,415",Condo,2,2,"1,306 Sq Ft",,2023
128,"215 Aaron Truehart Way, Titusville, NJ, 08560","$494,415",Condo,2,2,"1,306 Sq Ft",,2023
129,"11 Maine St, Jefferson Twp., NJ, 07849","$495,000",Single Family Residential,3,3,"2,500 Sq Ft","4,356 Sq. Ft.",2023
130,"5325 Palomino Ct, Cherry Hill, NJ, 08002","$495,000",Condo,2,2,"1,378 Sq Ft",—,2021
131,"221 Aaron Truehart Way, Titusville, NJ, 08560","$496,915",Condo,2,2,"1,306 Sq Ft",,2023
132,"401 2nd St, Haddon Township, NJ, 08033","$499,000",Single Family Residential,4,3,"2,275 Sq Ft","4,000 Sq. Ft.",2023
133,"503 Weymouth Rd, Buena, NJ, 08310","$499,000",Single Family Residential,3,2.5,"1,525 Sq Ft",4.83 Acres,2023
134,"8 Outlook Ave, Mount Olive Twp., NJ, 07828","$499,900",Single Family Residential,4,2.5,"2,300 Sq Ft","5,662 Sq. Ft.",2022
135,"1076 Green Pond Rd, Rockaway Twp., NJ, 07435","$499,900",Condo,3,2.5,— Sq Ft,"4,356 Sq. Ft.",2023
136,"6 Anderson Way, Cape May Court House, NJ, 08210","$499,900",Single Family,3,2,"1,525 Sq Ft",0.56 Acres,2023
137,"108 Mulberry St, Delran, NJ, 08075","$499,900",Townhouse,3,3,"2,323 Sq Ft",0.34 Acres,2022
138,"15 E Atlantic Ave, Cape May Court House, NJ, 08210","$499,990",Single Family Residential,4,2.5,"1,934 Sq Ft",0.35 Acres,2023
139,"114 Sandpiper Ln #08, Little Egg Harbor, NJ, 08087","$499,990","Single Family, Detached",4,3,"2,080 Sq Ft",0.29 Acres,2022
140,"104 Harbelle Way, Mullica Hill, NJ, 08062","$500,500",Single Family Residential,2,2,"1,643 Sq Ft","5,500 Sq. Ft.",2023
141,"10 Sister's Farmstead Rd, Mount Laurel, NJ, 08054","$508,500",Townhouse,3,3.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
142,"44 Sportsman Blvd, Hamilton, NJ, 08690","$509,500",Townhouse,3,2.5,"2,420 Sq Ft","3,450 Sq. Ft.",2022
143,"402 Monte Farm Rd, Mount Laurel, NJ, 08054","$513,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
144,"18 Sister's Farmstead Rd, Mount Laurel, NJ, 08054","$513,220",Townhouse,3,3.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
145,"14 Tower Blvd, Eastampton, NJ, 08060","$513,290",Single Family Residential,3,2,"1,846 Sq Ft",,2023
146,"63 Beach Dr, Eastampton, NJ, 08060","$515,790",Single Family Residential,3,2,"1,846 Sq Ft","6,875 Sq. Ft.",2023
147,"38 Mantoloking Dr, Jackson Township, NJ, 08527","$515,990",Townhouse,3,3.5,"1,934 Sq Ft",,2023
148,"56 Beach Dr, Eastampton, NJ, 08060","$516,140",Single Family Residential,2,2,"1,728 Sq Ft",,2023
149,"404 Monte Farm Rd, Mount Laurel, NJ, 08054","$517,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
150,"37 Sportsman Blvd, Hamilton, NJ, 08690","$519,500",Townhouse,3,2.5,"2,466 Sq Ft","3,442 Sq. Ft.",2021
151,"121 Churchill Blvd, Plumsted, NJ, 08533","$519,790","Adult Community, Detached",2,2,"1,728 Sq Ft",—,2023
152,"12 Sister's Farmstead Rd, Mount Laurel, NJ, 08054","$520,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
153,"35 Sportsman Blvd, Hamilton, NJ, 08690","$521,020",Townhouse,3,2.5,"2,420 Sq Ft","3,442 Sq. Ft.",2021
154,"225 Aaron Truehart Way, Titusville, NJ, 08560","$521,915",Condo,2,2,"1,323 Sq Ft",,2023
155,"14 Sister's Farmstead Rd, Mount Laurel, NJ, 08054","$524,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
156,"917 5th St, Union Beach, NJ, 07735","$524,900","Single Family, Detached",4,4,— Sq Ft,"2,613 Sq. Ft.",2023
157,"35 Saratoga Rd, New Egypt, NJ, 08533","$525,000",Single Family Residential,3,2,"1,942 Sq Ft","6,055 Sq. Ft.",2021
158,"18 Lilac Cir, Mount Laurel, NJ, 08054","$527,210",Townhouse,3,2.5,"2,270 Sq Ft",,2023
159,"546 Jackson Rd, Atco, NJ, 08004","$529,900",Single Family Residential,4,2.5,"2,547 Sq Ft",0.51 Acres,2023
160,"38 Mantoloking Dr, Jackson Township, NJ, 08527","$515,990",Townhouse,3,3.5,"1,934 Sq Ft",,2023
161,"56 Beach Dr, Eastampton, NJ, 08060","$516,140",Single Family Residential,2,2,"1,728 Sq Ft",,2023
162,"404 Monte Farm Rd, Mount Laurel, NJ, 08054","$517,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
163,"37 Sportsman Blvd, Hamilton, NJ, 08690","$519,500",Townhouse,3,2.5,"2,466 Sq Ft","3,442 Sq. Ft.",2021
164,"121 Churchill Blvd, Plumsted, NJ, 08533","$519,790","Adult Community, Detached",2,2,"1,728 Sq Ft",—,2023
165,"12 Sister's Farmstead Rd, Mount Laurel, NJ, 08054","$520,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
166,"35 Sportsman Blvd, Hamilton, NJ, 08690","$521,020",Townhouse,3,2.5,"2,420 Sq Ft","3,442 Sq. Ft.",2021
167,"225 Aaron Truehart Way, Titusville, NJ, 08560","$521,915",Condo,2,2,"1,323 Sq Ft",,2023
168,"14 Sister's Farmstead Rd, Mount Laurel, NJ, 08054","$524,210",Townhouse,3,2.5,"2,270 Sq Ft","2,200 Sq. Ft.",2023
169,"917 5th St, Union Beach, NJ, 07735","$524,900","Single Family, Detached",4,4,— Sq Ft,"2,613 Sq. Ft.",2023
170,"35 Saratoga Rd, New Egypt, NJ, 08533","$525,000",Single Family Residential,3,2,"1,942 Sq Ft","6,055 Sq. Ft.",2021
171,"18 Lilac Cir, Mount Laurel, NJ, 08054","$527,210",Townhouse,3,2.5,"2,270 Sq Ft",,2023
172,"546 Jackson Rd, Atco, NJ, 08004","$529,900",Single Family Residential,4,2.5,"2,547 Sq Ft",0.51 Acres,2023
